87.871	29.305	28.887	31.535	54.684
39.828	23.127	86.937	51.657	98.229
28.720	3.601	8.772	52.914	14.335
1.265	99.066	76.273	41.726	91.233
0.570	63.037	36.933	31.050	25.649
11.774	47.466	41.129	9.950	39.098
9.974	18.186	49.349	51.380	80.365
50.423	18.644	18.189	32.392	42.423
71.966	0.494	79.734	13.967	57.610
36.900	39.029	34.741	73.654	99.079
68.510	21.046	46.678	76.974	85.724
83.974	54.361	24.278	34.277	18.062
62.272	71.948	96.366	91.752	70.386
66.521	44.877	46.290	39.748	59.748
84.138	92.760	33.576	67.037	9.684
5.476	67.328	89.277	56.541	39.471
33.346	15.356	54.470	82.032	48.868
36.840	72.914	24.926	55.054	98.317
13.779	11.694	77.494	15.972	93.991
90.880	76.285	83.989	22.608	86.675
5.872	41.626	98.169	30.309	10.159
40.111	96.077	82.740	3.229	21.326
51.780	92.870	35.346	93.709	10.182
19.119	65.277	46.041	86.073	14.842
67.420	38.783	93.243	74.596	72.347
34.072	4.190	38.324	29.399	25.445
33.263	82.101	41.475	13.036	49.412
51.672	19.988	79.993	0.120	90.280
36.220	76.152	50.396	97.996	65.591
89.708	79.477	54.844	37.297	21.762
90.727	42.719	40.852	50.432	6.794
68.439	70.107	51.248	73.421	11.523
55.748	99.405	83.084	15.350	82.373
76.360	37.344	10.701	52.028	60.392
28.695	51.753	42.999	40.761	81.894
48.215	45.166	6.422	97.388	59.357
27.098	59.875	65.562	15.012	58.388
26.696	31.635	43.171	63.873	36.637
12.960	18.877	66.539	70.038	3.370
22.248	97.916	30.965	88.375	73.675
80.144	89.873	87.217	63.181	6.737
20.379	13.068	98.972	47.568	12.061
45.180	33.151	65.045	6.749	97.881
1.437	75.781	94.172	93.057	75.135
82.657	99.067	10.439	94.856	0.357
86.343	99.393	50.629	28.772	86.742
5.301	75.337	14.326	75.240	88.949
25.631	1.513	98.357	53.143	34.062
0.224	35.611	15.224	31.457	5.876
83.946	45.704	92.020	93.625	84.531
87.983	95.417	6.032	60.321	48.945
73.987	55.944	24.213	73.312	41.769
4.794	6.814	32.134	14.739	62.863
50.611	34.953	67.329	33.729	36.899
7.412	60.278	48.226	45.692	75.730
82.024	5.610	54.397	0.369	57.173
83.973	57.292	98.060	96.003	80.074
75.905	70.231	1.817	14.322	43.013
77.279	27.929	56.299	99.912	41.774
9.092	85.880	20.391	61.126	97.680
31.835	92.234	21.198	90.559	79.432
29.256	67.526	97.007	97.138	93.212
23.942	78.698	23.321	89.569	7.467
71.886	29.555	60.604	24.028	6.662
36.925	5.083	35.537	56.581	60.843
46.696	67.034	20.887	42.752	57.423
12.573	44.194	11.574	16.563	54.836
31.853	51.226	74.889	58.726	93.310
98.437	28.094	29.208	28.669	49.382
20.664	13.955	44.119	81.393	9.866
42.458	2.366	87.140	34.282	10.366
39.447	43.654	37.617	86.581	40.364
67.472	47.022	50.064	80.583	75.811
7.203	31.579	46.994	55.389	5.267
34.539	72.737	85.059	61.477	46.318
51.284	25.320	15.924	22.451	42.295
8.194	41.083	92.633	1.718	46.761
80.695	86.308	80.192	98.170	44.310
96.707	95.186	99.143	99.485	85.318
25.168	93.815	56.111	99.849	16.447
63.939	85.701	16.773	49.430	49.167
14.109	50.522	17.865	82.662	44.552
33.764	2.323	85.583	77.666	46.893
34.771	33.015	20.179	61.286	73.001
1.491	62.289	82.808	57.992	89.032
10.427	17.478	1.875	7.769	34.144
44.912	57.061	89.575	40.131	5.951
4.455	36.067	2.457	89.862	27.417
94.245	70.605	74.696	24.392	88.248
96.223	28.882	8.396	26.563	64.021
53.524	9.782	87.922	86.638	93.528
68.309	75.865	98.849	78.508	64.545
58.020	24.394	11.258	66.568	20.792
30.540	32.065	61.423	64.564	14.142
61.446	90.694	1.274	99.156	79.521
14.636	85.666	29.534	10.482	69.846
91.939	56.788	51.964	93.087	76.946
50.892	21.389	6.422	3.094	79.672
27.596	35.667	61.424	1.038	52.879
85.542	70.020	10.744	39.421	41.615
